TEAM NO 1,TEAM 1,TEAM NO 2,TEAM 2,Team_2_Win_Percentage,Team_1_Win_Percentage,Team1Win
1026,Stetson,1067,Connecticut,0.713429,0.28657103,0
1038,North Carolina,1067,Connecticut,0.6245881,0.37541193,0
1055,Howard,1067,Connecticut,0.59552693,0.40447304,0
1056,Houston,1067,Connecticut,0.75555724,0.24444275,0
1048,Longwood,1067,Connecticut,0.7621713,0.23782869,0
1043,Montana St.,1067,Connecticut,0.78395325,0.21604675,0
1058,Grambling St.,1067,Connecticut,0.7280711,0.27192888,0
1053,Iowa St.,1067,Connecticut,0.762444,0.23755598,0
1027,South Dakota St.,1067,Connecticut,0.7527968,0.24720317,0
1077,Arizona,1067,Connecticut,0.5869831,0.41301692,0
1049,Long Beach St.,1067,Connecticut,0.74603915,0.25396082,0
1024,Tennessee,1067,Connecticut,0.73942655,0.26057345,0
1035,Oakland,1067,Connecticut,0.7075796,0.29242036,0
1076,Auburn,1067,Connecticut,0.59818304,0.40181696,0
1012,Yale,1067,Connecticut,0.82500935,0.17499064,0
1070,College of Charleston,1067,Connecticut,0.73948383,0.26051617,0
1051,Kansas,1067,Connecticut,0.7821511,0.21784887,0
1030,Samford,1067,Connecticut,0.7092796,0.2907204,0
1020,UAB,1067,Connecticut,0.5985168,0.4014832,0
1013,Wisconsin,1067,Connecticut,0.6646701,0.33532992,0
1059,Gonzaga,1067,Connecticut,0.6751851,0.32481495,0
1062,Duquesne,1067,Connecticut,0.75486994,0.24513008,0
1072,Clemson,1067,Connecticut,0.75441897,0.24558103,0
1037,North Carolina St.,1067,Connecticut,0.72992516,0.27007484,0
1034,Oregon,1067,Connecticut,0.755289,0.24471097,0
1015,Washington St.,1067,Connecticut,0.7108394,0.28916058,0
1065,Dayton,1067,Connecticut,0.82669437,0.17330562,0
1074,Boise St.,1067,Connecticut,0.7694073,0.2305927,0
1023,Texas,1067,Connecticut,0.69570065,0.30429938,0
1068,Colorado St.,1067,Connecticut,0.8090745,0.1909255,0
1036,Northwestern,1067,Connecticut,0.7758116,0.2241884,0
1044,Mississippi St.,1067,Connecticut,0.81106496,0.18893501,0
1045,Michigan St.,1067,Connecticut,0.6676816,0.33231845,0
1041,Nebraska,1067,Connecticut,0.7367267,0.2632733,0
1026,Stetson,1016,Wagner,0.40907967,0.5909203,1
1067,Connecticut,1016,Wagner,0.2826302,0.7173698,1
1048,Longwood,1016,Wagner,0.39678717,0.60321283,1
1043,Montana St.,1016,Wagner,0.42543644,0.57456356,1
1053,Iowa St.,1016,Wagner,0.4097221,0.5902779,1
1027,South Dakota St.,1016,Wagner,0.40860784,0.59139216,1
1077,Arizona,1016,Wagner,0.34763646,0.65236354,1
1049,Long Beach St.,1016,Wagner,0.31363237,0.68636763,1
1035,Oakland,1016,Wagner,0.38925564,0.61074436,1
1070,College of Charleston,1016,Wagner,0.39020425,0.60979575,1
1059,Gonzaga,1016,Wagner,0.36538464,0.63461536,1
1037,North Carolina St.,1016,Wagner,0.37131828,0.6286817,1
1034,Oregon,1016,Wagner,0.38465667,0.61534333,1
